lad18nm,areaID,internetUse_none_%,internetUse_severalTimesDaily_%
Blaenau Gwent,W06000019,15,64
Bridgend,W06000013,15,68
Caerphilly,W06000018,11,75
Cardiff,W06000015,6,83
Carmarthenshire,W06000010,12,74
Ceredigion,W06000008,12,65
Conwy,W06000003,12,75
Denbighshire,W06000004,10,69
Flintshire,W06000005,11,78
Gwynedd,W06000002,13,73
Isle of Anglesey,W06000001,14,54
Merthyr Tydfil,W06000024,15,59
Monmouthshire,W06000021,7,77
Neath Port Talbot,W06000012,17,75
Newport,W06000022,9,83
Pembrokeshire,W06000009,13,73
Powys,W06000023,16,68
Rhondda Cynon Taf,W06000016,12,76
Swansea,W06000011,12,74
Torfaen,W06000020,9,67
Vale of Glamorgan,W06000014,8,77
Wrexham,W06000006,14,75
